actual_intent,predicted_intent,correct
LOST_ITEM,LOST_ITEM,True
SUPPORT_CONTACT,SUPPORT_CONTACT,True
LOST_ITEM,LOST_ITEM,True
CANCELLATION_FEE,CANCELLATION_FEE,True
FARE_CHARGED_WRONG,DRIVER_PROBLEM,False
FARE_CHARGED_WRONG,ACCOUNT_HACKED,False
DRIVER_PROBLEM,DRIVER_PROBLEM,True
SUPPORT_CONTACT,SUPPORT_CONTACT,True
SUPPORT_CONTACT,SUPPORT_CONTACT,True
PROMO_DISCOUNT,UBER_EATS_ORDER,False
DRIVER_PROBLEM,DRIVER_PROBLEM,True
FARE_CHARGED_WRONG,FARE_CHARGED_WRONG,True
DRIVER_PROBLEM,DRIVER_PROBLEM,True
DRIVER_PROBLEM,RIDE_PROBLEM,False
APP_PROBLEM,SUPPORT_CONTACT,False
UBER_EATS_ORDER,UBER_EATS_ORDER,True
ACCOUNT_HACKED,ACCOUNT_HACKED,True
PROMO_DISCOUNT,UBER_EATS_ORDER,False
REFUND_REQUEST,CANCELLATION_FEE,False
UBER_EATS_ORDER,UBER_EATS_ORDER,True
APP_PROBLEM,SUPPORT_CONTACT,False
RIDE_PROBLEM,APP_PROBLEM,False
RIDE_PROBLEM,RIDE_PROBLEM,True
RIDE_PROBLEM,CANCELLATION_FEE,False
LOGIN_ACCOUNT_ACCESS,ACCOUNT_HACKED,False
DRIVER_PROBLEM,DRIVER_PROBLEM,True
PROMO_DISCOUNT,SUPPORT_CONTACT,False
RIDE_PROBLEM,RIDE_PROBLEM,True
FARE_CHARGED_WRONG,RIDE_PROBLEM,False
SUPPORT_CONTACT,UBER_EATS_ORDER,False
LOST_ITEM,LOGIN_ACCOUNT_ACCESS,False
DRIVER_PROBLEM,FARE_CHARGED_WRONG,False
UBER_EATS_ORDER,UBER_EATS_ORDER,True
DRIVER_PROBLEM,DRIVER_PROBLEM,True
SUPPORT_CONTACT,SUPPORT_CONTACT,True
RIDE_PROBLEM,DRIVER_PROBLEM,False
ACCOUNT_HACKED,ACCOUNT_HACKED,True
UBER_EATS_ORDER,UBER_EATS_ORDER,True
FARE_CHARGED_WRONG,FARE_CHARGED_WRONG,True
SUPPORT_CONTACT,SUPPORT_CONTACT,True
CANCELLATION_FEE,CANCELLATION_FEE,True
LOGIN_ACCOUNT_ACCESS,ACCOUNT_HACKED,False
SUPPORT_CONTACT,UBER_EATS_ORDER,False
FARE_CHARGED_WRONG,FARE_CHARGED_WRONG,True
SUPPORT_CONTACT,DRIVER_PROBLEM,False
LOGIN_ACCOUNT_ACCESS,SUPPORT_CONTACT,False
FARE_CHARGED_WRONG,FARE_CHARGED_WRONG,True
FARE_CHARGED_WRONG,SUPPORT_CONTACT,False
FARE_CHARGED_WRONG,FARE_CHARGED_WRONG,True
SUPPORT_CONTACT,SUPPORT_CONTACT,True
UBER_EATS_ORDER,PROMO_DISCOUNT,False
DRIVER_PROBLEM,SUPPORT_CONTACT,False
FARE_CHARGED_WRONG,FARE_CHARGED_WRONG,True
DRIVER_PROBLEM,ACCOUNT_HACKED,False
PROMO_DISCOUNT,ACCOUNT_HACKED,False
DRIVER_PROBLEM,RIDE_PROBLEM,False
CANCELLATION_FEE,FARE_CHARGED_WRONG,False
FARE_CHARGED_WRONG,PROMO_DISCOUNT,False
SUPPORT_CONTACT,SUPPORT_CONTACT,True
ACCOUNT_HACKED,ACCOUNT_HACKED,True
DRIVER_PROBLEM,RIDE_PROBLEM,False
FARE_CHARGED_WRONG,FARE_CHARGED_WRONG,True
REFUND_REQUEST,DRIVER_PROBLEM,False
SUPPORT_CONTACT,SUPPORT_CONTACT,True
ACCOUNT_HACKED,ACCOUNT_HACKED,True
UBER_EATS_ORDER,RIDE_PROBLEM,False
LOGIN_ACCOUNT_ACCESS,SUPPORT_CONTACT,False
FARE_CHARGED_WRONG,FARE_CHARGED_WRONG,True
DRIVER_PROBLEM,DRIVER_PROBLEM,True
FARE_CHARGED_WRONG,FARE_CHARGED_WRONG,True
PROMO_DISCOUNT,DRIVER_PROBLEM,False
PROMO_DISCOUNT,APP_PROBLEM,False
UBER_EATS_ORDER,PROMO_DISCOUNT,False
RIDE_PROBLEM,SUPPORT_CONTACT,False
SUPPORT_CONTACT,FARE_CHARGED_WRONG,False
SUPPORT_CONTACT,SUPPORT_CONTACT,True
SUPPORT_CONTACT,SUPPORT_CONTACT,True
SUPPORT_CONTACT,SUPPORT_CONTACT,True
APP_PROBLEM,SUPPORT_CONTACT,False
SUPPORT_CONTACT,SUPPORT_CONTACT,True
FARE_CHARGED_WRONG,DRIVER_PROBLEM,False
UBER_EATS_ORDER,UBER_EATS_ORDER,True
UBER_EATS_ORDER,UBER_EATS_ORDER,True
RIDE_PROBLEM,RIDE_PROBLEM,True
RIDE_PROBLEM,FARE_CHARGED_WRONG,False
FARE_CHARGED_WRONG,FARE_CHARGED_WRONG,True
LOST_ITEM,DRIVER_PROBLEM,False
RIDE_PROBLEM,SUPPORT_CONTACT,False
SUPPORT_CONTACT,SUPPORT_CONTACT,True
LOGIN_ACCOUNT_ACCESS,SUPPORT_CONTACT,False
LOST_ITEM,RIDE_PROBLEM,False
FARE_CHARGED_WRONG,FARE_CHARGED_WRONG,True
DRIVER_PROBLEM,RIDE_PROBLEM,False
APP_PROBLEM,LOGIN_ACCOUNT_ACCESS,False
SUPPORT_CONTACT,SUPPORT_CONTACT,True
