tweet_id_customer,text_customer,tweet_id_uber,text_uber
768,@115872 Happy to follow up! Contact us via https://t.co/1xM0TILvAI so we can connect.,770,@115872 We apologize for the trouble! Send us a DM with your email address and we'll connect.
771,@115873 you need to correct false charges from a trip in Lexington KY on Saturday. I want my $13 back #lyingdriver #theft,768,@115872 Happy to follow up! Contact us via https://t.co/1xM0TILvAI so we can connect.
773,@115873 my driver just drove me to the department of air travel instead of the airport.......... rufkm,772,"@115874 We're here to help! Send us a note here, https://t.co/WFtPA6RjWt and our team will be in touch."
775,@Uber_Support I’m not getting your texts. https://t.co/GhefNjQTfg,774,"@115875 We’re here to help, Travis! Send us a note via https://t.co/dwDjAokZht and we'll be in touch."
777,@115877 got this threw my door today went to order... sorry we don't deliver to your area! What!!! Why did I get this then! https://t.co/BGzU59vYJS,776,@115876 For more info about UberEats availability click here; https://t.co/3A9YFZQFaF
780,@Uber_Support Why is there no phone number ?? I'm literally stranded and now I have to wait for an automated reply this is ridiculous,778,@115878 We have received your DM and will follow up with you there.
782,Literally stranded because of @115873 and because there is no support phone number I have to wait from a message from @Uber_Support Smh 🤦🏾‍♂️,781,@115878 We're sorry to hear this was your experience. Can you send us a DM with your email address so we can connect?
784,"1 hour+ inside an old Altima that smells and has ripped stain seats, with an inexperienced miami driver @115873 standards down now 4 applying!",783,"@115880 We're sorry to hear this was your experience, Ray. Please contact us via https://t.co/aBEgvdNWQN and we'll be in touch."
1793,@Uber_Support I did. No response.,1795,@116108 We're here to help! Send us a DM with your email address so we can follow up.
1794,@115873 wtf is this.. every time I try to use the app it gives me this crap https://t.co/sp7kMe0ogA,1792,@116108 Here to help! Send us a note via https://t.co/xMxswVLBKT so our team can connect.
1797,@115877 your app and website still don’t work,1796,@116109 We have followed up via DM.
1800,@115873 hi just for a ride and it seemed to think I wanted to go to my original location. I canceled trip but want to see about being credited,1798,@116110 Here to help! Send us a note via https://t.co/1xM0TILvAI so our team can assist.
1802,"@Uber_Support I already dm y'all about 30 mins ago, check it out it is long and detailed.",1804,@116111 We're currently reviewing your email and will be in touch shortly. We appreciate your patience!
1803,Bruh can someone at @115873 @Uber_Support get back to me on my Dms 😒😒😒😒,1801,@116111 Here to help! Send us a note via https://t.co/zJ6aIZinzb so our team can connect.
1807,.@Uber_Support My driver broke down. Any tips on getting a refund?,1806,@116112 We're sorry to hear this was your experience. Send us a note via https://t.co/K05RdmK3t4 so we can assist.
1809,@Uber_Support i do not see we're the trid if is listed on the app.. i sent in a few message,1808,@116113 Please DM us with your account email address and phone number so we can look into this. https://t.co/sd7yH5jmbJ
1812,@115873 worst most unprofessional driver ever !! asked for extra fee when he showed up ! yelling at me cause uber don't pay for his 30k car??? https://t.co/i5qOULRSnc,1810,@116113 Sorry to hear this was your experience! Please send us a note at https://t.co/K05RdmK3t4 so we can connect right away.
1866,@Uber_Support I have submitted complain against over charging but still not response from uber support!!!!,1864,@116127 Here to help! Please DM (direct message) us your email address so we can follow up. Thanks!
2097,@Uber_Support done please check,2099,"@116168 Hi, Singh. Please send us a DM with your account email address and phone number so we can locate your account. Thanks for your patience."
2098,kya khassi support hai yaar @Uber_Support. i am an uber rider not driver. they are telling me to take docs to nearby uber office for verification and all i was asked was to update my cellphone number 👺👺,2096,@116168 Happy to further assist you. Can you please send us a DM with your email address and additional details so we can follow up?
2125,"@Uber_Support  After contacting you concerning deactivation of my account, it was reactivated but after 48 hrs, ,it has been been deactivated. Please help",2124,@116175 Hello! Thanks for your patience. Please check your DM ( direct messages) for our reply.
2156,@Uber_Support do you also support ubereats singapore? im reaching out here bec the support there is useless. any chance you could help?,2153,@116186 We're here to help! Send us a DM with your email address and more details so we can follow up.
2404,When I open the GPS map on UberEATS and see that my driver has turned down the wrong street: https://t.co/awQwmNwfUV,2402,@116264 Here to help. Send us a note at https://t.co/ptj11JUNYu so our team can connect.
2406,"@115877 hey, I was wondering if you could give me a discount on my food I'm broke!",2405,@116265 Happy to help! Please visit this link; https://t.co/qfimGYE4QO to know more about how to get a free food.
