tweet_id_customer,text_customer,tweet_id_uber,text_uber,intent,reference_reply_independent,reference_reviewed
2342643.0,@Uber_Support I left my work phone in my Uber and the driver has not set up his voicemail. Is there a way to text him ASAP?,2342642.0,@378055 Here to help! Get in contact with your driver here; https://t.co/rOtqyWzf0B.,LOST_ITEM,@378055 Here to help! Get in contact with your driver here; https://t.co/rOtqyWzf0B.,YES
698849.0,@115873 left my phone in 1 of u cars &amp; i can see on find my iphone exactly where it is but you dont have a fucking contact number what do i do,698847.0,@286690 Here to help! Get in contact with your driver here: https://t.co/rOtqyWzf0B,LOST_ITEM,@286690 Here to help! Get in contact with your driver here: https://t.co/rOtqyWzf0B,YES
2421535.0,@115877 not fair! Want my doughnuts 😳😣 https://t.co/T7o80Y56IX,2421533.0,"@695563 Demand is very high today, but we'll try our best to get a some doughnuts your way soon.",UBER_EATS_ORDER,"@695563 Demand is very high today, but we'll try our best to get a some doughnuts your way soon.",YES
2186110.0,The most impressive part about @115873 is how their drivers literally cannot follow simple directions. Unreal.,2186109.0,"@593489 We're here to help! Send us a note here, https://t.co/fS660rQ8NQ and our team will be in touch.",DRIVER_PROBLEM,"@593489 We're here to help! Send us a note here, https://t.co/fS660rQ8NQ and our team will be in touch.",YES
379033.0,"@Uber_Support no reason why ppl say, uber sucks in service, though being cheaper than @151419 @1143",379031.0,@205946 We've followed up via DM!,SUPPORT_CONTACT,@205946 We've followed up via DM!,YES
2584473.0,"@Uber_Support hi, i am going to New York from sf and want to drive in there, how can I see rental services and plans through uber platform, and add on my account to drive, can you help me out with this, thank you",2584472.0,@293525 Here to help. Send us a note at https://t.co/FF2YGTGjuA so our team can connect.,DRIVER_PROBLEM,@293525 Here to help. Send us a note at https://t.co/FF2YGTGjuA so our team can connect.,YES
2957756.0,@Uber_Support someone just tried to hack my Uber account and you assholes have no service number to call. Shame on you. Hope you go out of business,2957755.0,@291332 Here to help! Send us a note here; https://t.co/kGIXas5Cxg and our team will be able to assist.,ACCOUNT_HACKED,@291332 Here to help! Send us a note here; https://t.co/kGIXas5Cxg and our team will be able to assist.,YES
666306.0,@Uber_Support why was i charged $1 to add a new card to my account?,666305.0,@278742 Here to help. Send us a note at https://t.co/dInR3racif so our team can connect.,FARE_CHARGED_WRONG,@278742 Here to help. Send us a note at https://t.co/dInR3racif so our team can connect.,YES
554106.0,"@Uber_Support  I took a trip from SARITA VIHAR METRO STATION for SAGARPUR at 11:30 PM. After the trip, I forgot to collect my Samsung Galaxy tab A 8.0 in the WAGON R car which was inserted in the Driver's charging port. I am consistently calling the driver but he is not picking.",554105.0,@249284 Hi there! Please send us a note at https://t.co/oY5vj3NqP3 and we'll be happy to look into this for you.,LOST_ITEM,@249284 Hi there! Please send us a note at https://t.co/oY5vj3NqP3 and we'll be happy to look into this for you.,YES
2372456.0,"Yo, straight up, @115873 can suck an egg. Worst company when trying to solve any issues. Their emails seem automated, you get a different “member” replying to each one, and it’s the ONLY company in America that doesn’t have a single number to call w issues. #overit #hilyft",2372454.0,@661386 We're here to help! Send us a DM with your email address so we can connect.,SUPPORT_CONTACT,@661386 We're here to help! Send us a DM with your email address so we can connect.,YES
347821.0,My uber just hit someone,347820.0,@198830 We want to follow up ASAP. Can you please send us a DM with your email address and additional details so we can connect?,DRIVER_PROBLEM,@198830 We want to follow up ASAP. Can you please send us a DM with your email address and additional details so we can connect?,YES
2584452.0,@115873 wtf is this??My Uber was stuck like this for about 15 minutes no movement or anything so I cancel and close the app to see if it’ll help and you give me the same exact driver gets stuck again I cancel again GIVES ME THE SAME DRIVER AGAIN AND CHARGED ME FOR CANCELLING TWICE https://t.co/BwE3QMYJSw,2584451.0,@732368 We're sorry to hear this was your experience. Contact us via https://t.co/e8HVoseGiP and we'll be in touch.,CANCELLATION_FEE,@732368 We're sorry to hear this was your experience. Contact us via https://t.co/e8HVoseGiP and we'll be in touch.,YES
604419.0,"@115873 is so fraud to their loyal customers. They get like 20% of my yearly income cause I’m an Uber queen, but they don’t send me any promos, meanwhile my friend just got 50% off 10 rides applied to her account this week for absolutely no reason. Please explain @Uber_Support",604420.0,@263685 We've been in touch via DM!,PROMO_DISCOUNT,@263685 We've been in touch via DM!,YES
2167343.0,"@Uber_Support 
I left my phone in an uber taxi this morning. I cannot contact the driver as his number is on my phone. What do I do?",2167342.0,"@636001 We're happy to connect further, Corinna. Please DM us the email address linked to your account.",LOST_ITEM,"@636001 We're happy to connect further, Corinna. Please DM us the email address linked to your account.",YES
